file,type,key,element,configuration,version,microversion,sha,exported_at
Box M5.15.15.45-Un.3mf,Box,Box|M5.15.15.45-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,48f01f91ea096068,2026-08-20T17:50:29
Box M5.15.15.62-Sl.3mf,Box,Box|M5.15.15.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,d50e84fd47dc6de9,2026-08-20T17:50:29
Box S3.15.10.20-Un.3mf,Box,Box|S3.15.10.20-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,f9c31043beb71c74,2026-08-20T20:54:44
Box S3.15.10.32-Sl.3mf,Box,Box|S3.15.10.32-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,b3d8f6538e567d06,2026-08-20T20:54:44
Box S5.15.15.45-Un.3mf,Box,Box|S5.15.15.45-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,4593cc09c0639e74,2026-08-20T17:50:29
Box S5.15.15.62-Sl.3mf,Box,Box|S5.15.15.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,11fc2877d725624a,2026-08-20T17:50:29
Holder 3x10-Sl.3mf,Holder,Holder|span|3|10|Sl,f27edbc7a0f89c28092f18d4,,6.6,,754fd22346a97de3,2026-08-20T20:54:44
Holder 3x10-Un.3mf,Holder,Holder|span|3|10|Un,f27edbc7a0f89c28092f18d4,,6.6,,d9dcd57432e2a3e4,2026-08-20T20:54:44
Holder 3x15-Sl.3mf,Holder,Holder|span|3|15|Sl,f27edbc7a0f89c28092f18d4,,6.6,,1c540fd64a99f16e,2026-08-20T17:50:29
Holder 3x15-Un.3mf,Holder,Holder|span|3|15|Un,f27edbc7a0f89c28092f18d4,,6.6,,c08ac790183f3224,2026-08-20T17:50:29
Holder 4x15-Sl.3mf,Holder,Holder|span|4|15|Sl,f27edbc7a0f89c28092f18d4,,6.6,,4d4a5cff4167caaf,2026-08-20T17:50:29
Holder 4x15-Un.3mf,Holder,Holder|span|4|15|Un,f27edbc7a0f89c28092f18d4,,6.6,,095ca46c5ec4fd7e,2026-08-20T17:50:29
Lid M5.15.15.45-Un.3mf,Lid,Lid|M5.15.15.45-Un,1f5cc8c63b87dcf62f713af0,,6.5,,59cbfdd674bfe24a,2026-08-12T13:37:04
Lid M5.15.15.62-Sl.3mf,Lid,Lid|M5.15.15.62-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,09ea49c8e72e1587,2026-08-12T13:37:04
Lid S3.15.10.20-Un.3mf,Lid,Lid|S3.15.10.20-Un,1f5cc8c63b87dcf62f713af0,,6.5,,d0e15eb4ed08c390,2026-08-20T20:54:44
Lid S3.15.10.32-Sl.3mf,Lid,Lid|S3.15.10.32-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,ee6a3c4a141a1138,2026-08-20T20:54:44
Lid S5.15.15.45-Un.3mf,Lid,Lid|S5.15.15.45-Un,1f5cc8c63b87dcf62f713af0,,6.5,,c920ff9b0d7eb40e,2026-08-12T13:37:04
Lid S5.15.15.62-Sl.3mf,Lid,Lid|S5.15.15.62-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,102e3d63d9f49d58,2026-08-12T13:37:04
Pusher 3x10-Sl.3mf,Pusher,Pusher|3|10|Sl,f27edbc7a0f89c28092f18d4,,6.6,,db128e265a6c5edb,2026-08-20T20:54:44
Pusher 3x10-Un.3mf,Pusher,Pusher|3|10|Un,f27edbc7a0f89c28092f18d4,,6.6,,1cc37af7d6747959,2026-08-20T20:54:44
Pusher 5x15-Sl.3mf,Pusher,Pusher|5|15|Sl,f27edbc7a0f89c28092f18d4,,6.6,,b07f713cc9a7b58f,2026-08-20T17:50:29
Pusher 5x15-Un.3mf,Pusher,Pusher|5|15|Un,f27edbc7a0f89c28092f18d4,,6.6,,d1ff21a8b0dd72b0,2026-08-20T17:50:29
Topper Artifacts M-Sl.3mf,Topper,Topper|Artifacts|M|Sl,46a8affed99afb21fa7202d8,Expansion=Artifacts,6.4,,cb5c00fba6da6f82,2026-08-07T21:43:25
Topper Artifacts M-Un.3mf,Topper,Topper|Artifacts|M|Un,46a8affed99afb21fa7202d8,Expansion=Artifacts,6.4,,a733e1954669984b,2026-08-07T21:43:25
Topper Artifacts S-Sl.3mf,Topper,Topper|Artifacts|S|Sl,46a8affed99afb21fa7202d8,Expansion=Artifacts,6.4,,068c450dd2012dd7,2026-08-07T21:43:25
Topper Artifacts S-Un.3mf,Topper,Topper|Artifacts|S|Un,46a8affed99afb21fa7202d8,Expansion=Artifacts,6.4,,4446886d5b9e0afa,2026-08-07T21:43:25
Topper Blank M-Sl.3mf,Topper,Topper|Blank|M|Sl,46a8affed99afb21fa7202d8,Expansion=Blank,6.3,,0189529539ceb9bb,2026-08-07T15:47:44
Topper Blank M-Un.3mf,Topper,Topper|Blank|M|Un,46a8affed99afb21fa7202d8,Expansion=Blank,6.3,,fe2c0d86c6befe73,2026-08-04T23:40:37
Topper Blank S-Sl.3mf,Topper,Topper|Blank|S|Sl,46a8affed99afb21fa7202d8,Expansion=Blank,6.3,,4851b505d6aca5e7,2026-08-04T22:42:31
Topper Blank S-Un.3mf,Topper,Topper|Blank|S|Un,46a8affed99afb21fa7202d8,Expansion=Blank,6.3,,462ff6f95820da09,2026-08-04T22:42:31
Topper Cities M-Sl.3mf,Topper,Topper|Cities|M|Sl,46a8affed99afb21fa7202d8,Expansion=Cities,6.4,,e6b7a4937c032b4a,2026-08-07T19:26:28
Topper Cities M-Un.3mf,Topper,Topper|Cities|M|Un,46a8affed99afb21fa7202d8,Expansion=Cities,6.4,,fcb7cc85fc021fdd,2026-08-07T21:59:23
Topper Cities S-Sl.3mf,Topper,Topper|Cities|S|Sl,46a8affed99afb21fa7202d8,Expansion=Cities,6.4,,94dff9800b22a4b7,2026-08-07T21:59:23
Topper Cities S-Un.3mf,Topper,Topper|Cities|S|Un,46a8affed99afb21fa7202d8,Expansion=Cities,6.4,,5530dea0852d359b,2026-08-07T21:59:23
Topper Echoes M-Sl.3mf,Topper,Topper|Echoes|M|Sl,46a8affed99afb21fa7202d8,Expansion=Echoes,6.4,,75f6e2dd0d9ac631,2026-08-07T19:26:28
Topper Echoes M-Un.3mf,Topper,Topper|Echoes|M|Un,46a8affed99afb21fa7202d8,Expansion=Echoes,6.4,,b8e9cb7ec6c8c604,2026-08-07T21:59:23
Topper Echoes S-Sl.3mf,Topper,Topper|Echoes|S|Sl,46a8affed99afb21fa7202d8,Expansion=Echoes,6.4,,353ea86923cdd181,2026-08-07T21:59:23
Topper Echoes S-Un.3mf,Topper,Topper|Echoes|S|Un,46a8affed99afb21fa7202d8,Expansion=Echoes,6.4,,3c405233ab4fb374,2026-08-07T21:59:23
Topper Figures M-Sl.3mf,Topper,Topper|Figures|M|Sl,46a8affed99afb21fa7202d8,Expansion=Figures,6.4,,508f3389374bae48,2026-08-07T19:26:28
Topper Figures M-Un.3mf,Topper,Topper|Figures|M|Un,46a8affed99afb21fa7202d8,Expansion=Figures,6.4,,61c3ea27683f8ef0,2026-08-07T21:59:23
Topper Figures S-Sl.3mf,Topper,Topper|Figures|S|Sl,46a8affed99afb21fa7202d8,Expansion=Figures,6.4,,a52b0261f03f2d95,2026-08-07T21:59:23
Topper Figures S-Un.3mf,Topper,Topper|Figures|S|Un,46a8affed99afb21fa7202d8,Expansion=Figures,6.4,,935770dd7f660756,2026-08-07T21:59:23
Topper Unseen M-Sl.3mf,Topper,Topper|Unseen|M|Sl,46a8affed99afb21fa7202d8,Expansion=Unseen,6.4,,bf3b75fb95aeb636,2026-08-07T19:26:28
Topper Unseen M-Un.3mf,Topper,Topper|Unseen|M|Un,46a8affed99afb21fa7202d8,Expansion=Unseen,6.4,,14dbe8a98019e43d,2026-08-07T21:59:23
Topper Unseen S-Sl.3mf,Topper,Topper|Unseen|S|Sl,46a8affed99afb21fa7202d8,Expansion=Unseen,6.4,,268edebda41c33d4,2026-08-07T21:59:23
Topper Unseen S-Un.3mf,Topper,Topper|Unseen|S|Un,46a8affed99afb21fa7202d8,Expansion=Unseen,6.4,,1693f545a9a2638d,2026-08-07T21:59:23
