file,type,key,element,configuration,version,microversion,sha,exported_at
Box L6.40.12.45-Un.3mf,Box,Box|L6.40.12.45-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,1ca7e1d6940c7011,2026-08-20T17:58:26
Box L6.40.12.62-Sl.3mf,Box,Box|L6.40.12.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,3b5cd67da75bd19d,2026-08-20T17:58:26
Box L8.50.10.62-Sl.3mf,Box,Box|L8.50.10.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,aac7b0be49cb4087,2026-08-20T17:58:26
Box L8.50.10.62-Un.3mf,Box,Box|L8.50.10.62-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,5e7dd35959b38569,2026-08-20T17:58:26
Box M2.60.18-40.45-Un.3mf,Box,Box|M2.60.18/40.45-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,01fa22064df00e3b,2026-08-20T17:58:26
Box M2.60.18-40.62-Sl.3mf,Box,Box|M2.60.18/40.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,ebad8ef7794760b2,2026-08-20T17:58:26
Box M4.21.10.32-Un merged.3mf,Box,Box|M4.21.10.32-Un|True,f27edbc7a0f89c28092f18d4,,7.0,,fc326d5d1210121a,2026-08-31T23:26:31
Box M4.21.10.32-Un.3mf,Box,Box|M4.21.10.32-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,fe55335b68556097,2026-09-02T21:37:47
Box M4.21.10.45-Sl merged.3mf,Box,Box|M4.21.10.45-Sl|True,f27edbc7a0f89c28092f18d4,,7.0,,2def1effc9486926,2026-09-02T21:45:50
Box M4.21.10.45-Sl.3mf,Box,Box|M4.21.10.45-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,7a11fbef9812ecae,2026-09-02T21:37:47
Box M6.21.10.45-Un.3mf,Box,Box|M6.21.10.45-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,5aa43a06cd817b3b,2026-08-31T23:26:31
Box M6.21.10.62-Sl.3mf,Box,Box|M6.21.10.62-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,9529a8584e59e6e6,2026-08-31T23:26:31
Box M8.40.10.62-Sl merged.3mf,Box,Box|M8.40.10.62-Sl|True,f27edbc7a0f89c28092f18d4,,6.6,,936fa8c38052099a,2026-08-20T17:58:26
Box M8.40.10.62-Un merged.3mf,Box,Box|M8.40.10.62-Un|True,f27edbc7a0f89c28092f18d4,,6.6,,69e6ee4dc87f644b,2026-08-20T17:58:26
Box S2.40.12-30.32-Un.3mf,Box,Box|S2.40.12/30.32-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,79b4f36558fea85a,2026-08-31T23:26:31
Box S2.40.12-30.45-Sl.3mf,Box,Box|S2.40.12/30.45-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,a7595fe2411bbe58,2026-08-31T23:26:31
Box S4.16.10.32-Sl.3mf,Box,Box|S4.16.10.32-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,cb850e62f5c36162,2026-09-02T21:50:10
Box S4.16.10.32-Un.3mf,Box,Box|S4.16.10.32-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,62f6cd95dd7b6245,2026-08-31T23:26:31
Box S5.40.12.45-Un.3mf,Box,Box|S5.40.12.45-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,05211c1755aa5251,2026-08-20T17:58:26
Box S5.40.12.62-Sl.3mf,Box,Box|S5.40.12.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,ab8a2cdd25a66222,2026-08-20T17:58:26
Box S9.21.10.62-Sl.3mf,Box,Box|S9.21.10.62-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,5184ca4a4bc4a3e5,2026-08-20T17:58:26
Box S9.21.10.62-Un.3mf,Box,Box|S9.21.10.62-Un|False,f27edbc7a0f89c28092f18d4,,6.6,,da5a7087c097bd4e,2026-08-20T17:58:26
HalfTokenHolder 21-Sl merged.3mf,HalfTokenHolder,HalfTokenHolder|21|True|Sl,f27edbc7a0f89c28092f18d4,,6.6,,64330bf02b65820a,2026-08-20T17:58:26
HalfTokenHolder 21-Un merged.3mf,HalfTokenHolder,HalfTokenHolder|21|True|Un,f27edbc7a0f89c28092f18d4,,6.6,,af7c075ec8533e7e,2026-08-20T17:58:26
HalfTokenHolder 40-Sl merged.3mf,HalfTokenHolder,HalfTokenHolder|40|True|Sl,f27edbc7a0f89c28092f18d4,,6.6,,9c3486481e25b4d4,2026-08-20T17:58:26
HalfTokenHolder 40-Un merged.3mf,HalfTokenHolder,HalfTokenHolder|40|True|Un,f27edbc7a0f89c28092f18d4,,6.6,,42686ca0001cbbef,2026-08-20T17:58:26
Holder L-40-r6-Sl.3mf,Holder,Holder|L|40|6|Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,feb07d625fadd36f,2026-08-20T17:58:26
Holder L-40-r6-Un.3mf,Holder,Holder|L|40|6|Un|False,f27edbc7a0f89c28092f18d4,,6.6,,1d1151f254d9d9dd,2026-08-20T17:58:26
